"";"Code";"Population";"Abrv";"Area";"Distance";"Length";"Rmax";"alpha";"M";"Type"
"1";2;"Leff";"LEF";47561;649;NA;"20.38";"0.14777";"1.53212";"sink"
"2";3;"Trieux";"TRI";197283;649;72;"13.47";"0.095890";"1.00577";"source"
"3";4;"Jaudy";"JAU";106753;665;NA;"24.49";"0.178551";"1.83879";"sink"
"4";5;"Leguer";"LEG";229027;716;60;"23.26";"0.164441";"1.72520";"source"
"5";6;"Yar";"YAR";326121;726;NA;"11.87";"0.086614";"0.89531";"sink"
"6";7;"Douron";"DOU";252659;731;27;"22.46";"0.160152";"1.67624";"neutral"
"7";8;"Penze";"PEN";142686;755;30;"35.13";"0.250490";"2.61598";"neutral"
"8";9;"Elorn";"ELO";53603;881;57;"27.54";"0.195026";"2.04296";"neutral"
"9";10;"Aulne";"AUL";334514;903;140;"4.41";"0.031885";"0.33096";"source"
"10";11;"Goyen";"GOY";249049;966;36;"32.34";"0.229613";"2.39536";"sink"
"11";12;"Odet";"ODE";72305;1018;62;"25.87";"0.185059";"1.93216";"source"
"12";13;"Aven";"AVE";164699;1052;37;"17.14";"0.12444";"1.28727";"sink"
"13";14;"Laita";"LAI";37104;1069;76;"18.62";"0.13271";"1.38259";"source"
"14";15;"Scorff";"SCO";213733;1087;78;"13.4";"0.09588";"1";"sink"
"15";16;"Blavet";"BLA";95451;1087;149;"10.75";"0.07665";"0.79715";"neutral"
